ID,Song Name,Artists,Album Name,Popularity
6q41rWOFtGs0K63lm0tAPa,Simply Won't Do,['Disclosure'],Alchemy,56
3srre2C7GNHuowM46tOe1J,On My Mind,['Nic Fanciulli'],On My Mind,35
0HfwmVJGd0kzoVXLB6g7cX,WTF,"['Dale Howard', 'Roland Clark']",WTF,43
6As1zfxQHAgeQPBK2paaqh,The Greatest Thing Alive,"['Mark Knight', 'Green Velvet', 'James Hurr']",The Greatest Thing Alive,47
5LZNaPmgnxH2YHwmU9G0GL,Its Time to Move,['Sosa UK'],Its Time to Move,51
2BHvTbPBEaojVBM7nNrhVl,Need Your Love,"['Keys N Krates', 'Taite Imogen']",Need Your Love,44
2UhHOp4ggbDoS1uLcvemGr,Butterz,['Majestic'],Butterz,33
3JO36unveXPBt4aeE8ezN7,Don't Truss ft. Caitlyn Scarlett,"['Ben Sterling', 'Caitlyn Scarlett']",Don't Truss,41
0xi7qZJw7b1colPIEGG8bB,People,['Disfreq'],People,36
1RSwNDtLpLpVyx3lrsbpM1,They Call It Acid,['Meg Ward'],They Call It Acid,39
0ZVjgfaC2Ptrod9v6p9KFP,Good Love,"['Hannah Laing', 'RoRo']",Good Love,80
4OQL3tmaCuh2j6K29GgT37,Reason (with Paige Cavell),"['SILK', 'Paige Cavell']",Reason (with Paige Cavell),50
3AnStUBkcxdkiwBfHyK501,Pronto,"['Karma Child', 'Glasgow KI$$', 'Peachy Pete']",Pronto,27
2eg15xKr5TpSyF39lF82MN,The Dream - Royal-T Remix,"['Todd Edwards', 'Royal-T']",The Dream (Royal-T Remix),34
0LC5RJBwJIIwFIXZTJyia4,Let’s Get Close - Angelo Ferreri Remix,"['Peter Brown', 'Ivan Pica', 'Ron Carroll', 'Angelo Ferreri']",Let’s Get Close (Angelo Ferreri Remix),37
0hAKAySNyqvjMyjMFG0lY9,Don't Ya Want It,['ABSOLUTE.'],Garage Queen EP,37
7Esye77Caf24GfFmAzAUHW,Sirena Deep,"['Chaos In The CBD', 'Nathan Haines']",Sirena Deep,51
5HadIAY3Oray8VKuv3shgQ,Number 1,"['James Hype', 'Major Lazer']",Number 1,68
750prNiYbnIXyvOCbh47U8,Dance Move,['Zac Samuel'],Dance Move,32
1YLMg5pq8Je82sJeTKABM9,Feel It Deep Inside,"['Dopamine', 'Sigala']",Feel It Deep Inside,58
3VqqYXoL51yD9XWXaMvRJ5,Soul Trouble,['Kevin McKay'],Soul Trouble,40
5dcpLmwjST0jOLvl7S9eRW,I'm A Woman,"['ESSEL', 'Alex Hepburn']",I'm A Woman,46
22fEl4nzfgTqKi7ZYNXW3c,Midtown Playground,['Chris Stussy'],Midtown Playground,56
3bVrJvRNReqbE2Ow5txo4n,Strong,['CHANEY'],Strong,47
5PXZlm9dBDA8dBXxle5Da8,Better Times,"['KC Lights', 'Låpsley']",Better Times,64
2q8EmGuKx14Ihp3sjaLuu1,Waves,['Low Steppa'],Waves,44
2tHuIV0kuHeaLh6H5NEntH,Ride,['Scott Diaz'],SPIL The Beanz EP,34
0mm1VzWpWEebTZaOmNHebD,Never Knew Love (feat. Enisa),"['Riton', 'Belters Only', 'Enisa']",Never Knew Love (feat. Enisa),58
45JOJ1S8OK78Ce0zX6krvu,Get On The Floor,['Rossi.'],Get On The Floor EP,42
7ke5Q94wDT8RGmt8knyoz1,Believe - Radio Edit,['Big Miz'],Believe (Radio Edit),36
